shoulder,wrist,tp,fp
0.0001535,0.00017375,0,0
0.0001535,0.014636506329113924,36,36
0.0001535,0.029099262658227848,39,39
0.0001535,0.04356201898734177,40,40
0.0001535,0.058024775316455696,41,41
0.0001535,0.07248753164556962,56,56
0.0001535,0.08695028797468354,57,57
0.0001535,0.10141304430379747,58,58
0.0001535,0.11587580063291139,58,58
0.0001535,0.13033855696202531,61,61
0.0001535,0.14480131329113924,62,62
0.0001535,0.15926406962025316,62,62
0.0001535,0.1737268259493671,62,62
0.0001535,0.188189582278481,62,62
0.0001535,0.20265233860759493,63,63
0.0001535,0.21711509493670886,63,63
0.0001535,0.23157785126582278,63,63
0.0001535,0.2460406075949367,64,64
0.0001535,0.2605033639240506,64,64
0.0001535,0.2749661202531645,64,64
0.0001535,0.28942887658227845,65,65
0.0001535,0.3038916329113924,65,65
0.0001535,0.3183543892405063,65,65
0.0001535,0.3328171455696202,65,65
0.0001535,0.34727990189873414,65,65
0.0001535,0.36174265822784807,66,66
0.0001535,0.376205414556962,66,66
0.0001535,0.3906681708860759,66,66
0.0001535,0.40513092721518984,66,66
0.0001535,0.41959368354430376,66,66
0.0001535,0.4340564398734177,66,66
0.0001535,0.4485191962025316,66,66
0.0001535,0.46298195253164554,66,66
0.0001535,0.47744470886075946,66,66
0.0001535,0.4919074651898734,66,66
0.0001535,0.5063702215189873,66,66
0.0001535,0.5208329778481012,66,66
0.0001535,0.5352957341772152,66,66
0.0001535,0.5497584905063291,66,66
0.0001535,0.564221246835443,66,66
0.0001535,0.5786840031645569,66,66
0.0001535,0.5931467594936709,66,66
0.0001535,0.6076095158227848,66,66
0.0001535,0.6220722721518986,67,67
0.0001535,0.6365350284810126,67,67
0.0001535,0.6509977848101266,67,67
0.0001535,0.6654605411392405,67,67
0.0001535,0.6799232974683543,67,67
0.0001535,0.6943860537974683,67,67
0.0001535,0.7088488101265823,67,67
0.0001535,0.7233115664556962,67,67
0.0001535,0.73777432278481,67,67
0.0001535,0.752237079113924,67,67
0.0001535,0.766699835443038,68,68
0.0001535,0.7811625917721519,68,68
0.0001535,0.7956253481012657,68,68
0.0001535,0.8100881044303797,68,68
0.0001535,0.8245508607594937,68,68
0.0001535,0.8390136170886076,68,68
0.0001535,0.8534763734177214,68,68
0.0001535,0.8679391297468354,68,68
0.0001535,0.8824018860759494,68,68
0.0001535,0.8968646424050633,68,68
0.0001535,0.9113273987341771,68,68
0.0001535,0.9257901550632911,68,68
0.0001535,0.9402529113924051,68,68
0.0001535,0.954715667721519,68,68
0.0001535,0.9691784240506328,68,68
0.0001535,0.9836411803797468,68,68
0.0001535,0.9981039367088608,68,68
0.0001535,1.0125666930379746,68,68
0.0001535,1.0270294493670886,68,68
0.0001535,1.0414922056962026,68,68
0.0001535,1.0559549620253166,68,68
0.0001535,1.0704177183544306,68,68
0.0001535,1.0848804746835443,68,68
0.0001535,1.0993432310126583,68,68
0.0001535,1.1138059873417723,68,68
0.0001535,1.128268743670886,68,68
0.0001535,1.1427315,68,68
0.012732288607594934,0.00017375,0,0
0.012732288607594934,0.014636506329113924,36,36
0.012732288607594934,0.029099262658227848,39,39
0.012732288607594934,0.04356201898734177,40,40
0.012732288607594934,0.058024775316455696,41,41
0.012732288607594934,0.07248753164556962,41,41
0.012732288607594934,0.08695028797468354,41,41
0.012732288607594934,0.10141304430379747,42,42
0.012732288607594934,0.11587580063291139,42,42
0.012732288607594934,0.13033855696202531,45,45
0.012732288607594934,0.14480131329113924,46,46
0.012732288607594934,0.15926406962025316,46,46
0.012732288607594934,0.1737268259493671,46,46
0.012732288607594934,0.188189582278481,46,46
0.012732288607594934,0.20265233860759493,47,47
0.012732288607594934,0.21711509493670886,47,47
0.012732288607594934,0.23157785126582278,47,47
0.012732288607594934,0.2460406075949367,48,48
0.012732288607594934,0.2605033639240506,48,48
0.012732288607594934,0.2749661202531645,48,48
0.012732288607594934,0.28942887658227845,49,49
0.012732288607594934,0.3038916329113924,49,49
0.012732288607594934,0.3183543892405063,49,49
0.012732288607594934,0.3328171455696202,49,49
0.012732288607594934,0.34727990189873414,49,49
0.012732288607594934,0.36174265822784807,50,50
0.012732288607594934,0.376205414556962,50,50
0.012732288607594934,0.3906681708860759,50,50
0.012732288607594934,0.40513092721518984,50,50
0.012732288607594934,0.41959368354430376,50,50
0.012732288607594934,0.4340564398734177,50,50
0.012732288607594934,0.4485191962025316,50,50
0.012732288607594934,0.46298195253164554,50,50
0.012732288607594934,0.47744470886075946,50,50
0.012732288607594934,0.4919074651898734,50,50
0.012732288607594934,0.5063702215189873,50,50
0.012732288607594934,0.5208329778481012,50,50
0.012732288607594934,0.5352957341772152,50,50
0.012732288607594934,0.5497584905063291,50,50
0.012732288607594934,0.564221246835443,50,50
0.012732288607594934,0.5786840031645569,50,50
0.012732288607594934,0.5931467594936709,50,50
0.012732288607594934,0.6076095158227848,50,50
0.012732288607594934,0.6220722721518986,51,51
0.012732288607594934,0.6365350284810126,51,51
0.012732288607594934,0.6509977848101266,51,51
0.012732288607594934,0.6654605411392405,51,51
0.012732288607594934,0.6799232974683543,51,51
0.012732288607594934,0.6943860537974683,51,51
0.012732288607594934,0.7088488101265823,51,51
0.012732288607594934,0.7233115664556962,51,51
0.012732288607594934,0.73777432278481,51,51
0.012732288607594934,0.752237079113924,51,51
0.012732288607594934,0.766699835443038,52,52
0.012732288607594934,0.7811625917721519,52,52
0.012732288607594934,0.7956253481012657,52,52
0.012732288607594934,0.8100881044303797,52,52
0.012732288607594934,0.8245508607594937,52,52
0.012732288607594934,0.8390136170886076,52,52
0.012732288607594934,0.8534763734177214,52,52
0.012732288607594934,0.8679391297468354,52,52
0.012732288607594934,0.8824018860759494,52,52
0.012732288607594934,0.8968646424050633,52,52
0.012732288607594934,0.9113273987341771,52,52
0.012732288607594934,0.9257901550632911,52,52
0.012732288607594934,0.9402529113924051,52,52
0.012732288607594934,0.954715667721519,52,52
0.012732288607594934,0.9691784240506328,52,52
0.012732288607594934,0.9836411803797468,52,52
0.012732288607594934,0.9981039367088608,52,52
0.012732288607594934,1.0125666930379746,52,52
0.012732288607594934,1.0270294493670886,52,52
0.012732288607594934,1.0414922056962026,52,52
0.012732288607594934,1.0559549620253166,52,52
0.012732288607594934,1.0704177183544306,52,52
0.012732288607594934,1.0848804746835443,52,52
0.012732288607594934,1.0993432310126583,52,52
0.012732288607594934,1.1138059873417723,52,52
0.012732288607594934,1.128268743670886,52,52
0.012732288607594934,1.1427315,52,52
0.02531107721518987,0.00017375,0,0
0.02531107721518987,0.014636506329113924,36,36
0.02531107721518987,0.029099262658227848,39,39
0.02531107721518987,0.04356201898734177,40,40
0.02531107721518987,0.058024775316455696,40,40
0.02531107721518987,0.07248753164556962,40,40
0.02531107721518987,0.08695028797468354,40,40
0.02531107721518987,0.10141304430379747,40,40
0.02531107721518987,0.11587580063291139,40,40
0.02531107721518987,0.13033855696202531,43,43
0.02531107721518987,0.14480131329113924,44,44
0.02531107721518987,0.15926406962025316,44,44
0.02531107721518987,0.1737268259493671,44,44
0.02531107721518987,0.188189582278481,44,44
0.02531107721518987,0.20265233860759493,45,45
0.02531107721518987,0.21711509493670886,45,45
0.02531107721518987,0.23157785126582278,45,45
0.02531107721518987,0.2460406075949367,46,46
0.02531107721518987,0.2605033639240506,46,46
0.02531107721518987,0.2749661202531645,46,46
0.02531107721518987,0.28942887658227845,47,47
0.02531107721518987,0.3038916329113924,47,47
0.02531107721518987,0.3183543892405063,47,47
0.02531107721518987,0.3328171455696202,47,47
0.02531107721518987,0.34727990189873414,47,47
0.02531107721518987,0.36174265822784807,48,48
0.02531107721518987,0.376205414556962,48,48
0.02531107721518987,0.3906681708860759,48,48
0.02531107721518987,0.40513092721518984,48,48
0.02531107721518987,0.41959368354430376,48,48
0.02531107721518987,0.4340564398734177,48,48
0.02531107721518987,0.4485191962025316,48,48
0.02531107721518987,0.46298195253164554,48,48
0.02531107721518987,0.47744470886075946,48,48
0.02531107721518987,0.4919074651898734,48,48
0.02531107721518987,0.5063702215189873,48,48
0.02531107721518987,0.5208329778481012,48,48
0.02531107721518987,0.5352957341772152,48,48
0.02531107721518987,0.5497584905063291,48,48
0.02531107721518987,0.564221246835443,48,48
0.02531107721518987,0.5786840031645569,48,48
0.02531107721518987,0.5931467594936709,48,48
0.02531107721518987,0.6076095158227848,48,48
0.02531107721518987,0.6220722721518986,49,49
0.02531107721518987,0.6365350284810126,49,49
0.02531107721518987,0.6509977848101266,49,49
0.02531107721518987,0.6654605411392405,49,49
0.02531107721518987,0.6799232974683543,49,49
0.02531107721518987,0.6943860537974683,49,49
0.02531107721518987,0.7088488101265823,49,49
0.02531107721518987,0.7233115664556962,49,49
0.02531107721518987,0.73777432278481,49,49
0.02531107721518987,0.752237079113924,49,49
0.02531107721518987,0.766699835443038,50,50
0.02531107721518987,0.7811625917721519,50,50
0.02531107721518987,0.7956253481012657,50,50
0.02531107721518987,0.8100881044303797,50,50
0.02531107721518987,0.8245508607594937,50,50
0.02531107721518987,0.8390136170886076,50,50
0.02531107721518987,0.8534763734177214,50,50
0.02531107721518987,0.8679391297468354,50,50
0.02531107721518987,0.8824018860759494,50,50
0.02531107721518987,0.8968646424050633,50,50
0.02531107721518987,0.9113273987341771,50,50
0.02531107721518987,0.9257901550632911,50,50
0.02531107721518987,0.9402529113924051,50,50
0.02531107721518987,0.954715667721519,50,50
0.02531107721518987,0.9691784240506328,50,50
0.02531107721518987,0.9836411803797468,50,50
0.02531107721518987,0.9981039367088608,50,50
0.02531107721518987,1.0125666930379746,50,50
0.02531107721518987,1.0270294493670886,50,50
0.02531107721518987,1.0414922056962026,50,50
0.02531107721518987,1.0559549620253166,50,50
0.02531107721518987,1.0704177183544306,50,50
0.02531107721518987,1.0848804746835443,50,50
0.02531107721518987,1.0993432310126583,50,50
0.02531107721518987,1.1138059873417723,50,50
0.02531107721518987,1.128268743670886,50,50
0.02531107721518987,1.1427315,50,50
0.03788986582278481,0.00017375,0,0
0.03788986582278481,0.014636506329113924,36,36
0.03788986582278481,0.029099262658227848,39,39
0.03788986582278481,0.04356201898734177,40,40
0.03788986582278481,0.058024775316455696,40,40
0.03788986582278481,0.07248753164556962,40,40
0.03788986582278481,0.08695028797468354,40,40
0.03788986582278481,0.10141304430379747,40,40
0.03788986582278481,0.11587580063291139,40,40
0.03788986582278481,0.13033855696202531,43,43
0.03788986582278481,0.14480131329113924,44,44
0.03788986582278481,0.15926406962025316,44,44
0.03788986582278481,0.1737268259493671,44,44
0.03788986582278481,0.188189582278481,44,44
0.03788986582278481,0.20265233860759493,45,45
0.03788986582278481,0.21711509493670886,45,45
