down_idx,up_idx,down_ms,up_ms,shoulder_move,left_move,right_move,wrist_move,source
236,390,3936.0,6499.0,0.09618199999999999,0.009948000000000012,0.026998000000000022,0.018473000000000017,dati di debug\1° test.csv
412,461,6865.0,7680.0,0.06832749999999999,0.0017880000000000118,0.002935000000000021,0.0023615000000000164,dati di debug\1° test.csv
485,533,8080.0,8878.0,0.06166699999999997,0.0036710000000000353,0.0027880000000000127,0.003229500000000024,dati di debug\1° test.csv
557,601,9278.0,10010.0,0.0665035,0.0005149999999999877,0.004610000000000003,0.0025624999999999953,dati di debug\1° test.csv
625,673,10409.0,11208.0,0.06194099999999997,0.0016269999999999896,0.0008179999999999854,0.0012224999999999875,dati di debug\1° test.csv
696,741,11591.0,12340.0,0.06420349999999997,0.00019700000000000273,0.0005240000000000244,0.0003605000000000136,dati di debug\1° test.csv
766,813,12756.0,13538.0,0.06464599999999998,0.0005899999999999794,0.00152100000000005,0.0010555000000000148,dati di debug\1° test.csv
839,883,13971.0,14703.0,0.067351,0.0012299999999999534,0.002701000000000009,0.001965499999999981,dati di debug\1° test.csv
911,959,15169.0,15968.0,0.06931500000000002,0.0008540000000000214,0.0038830000000000253,0.0023685000000000234,dati di debug\1° test.csv
989,1041,16467.0,17332.0,0.06795600000000002,0.0012639999999999874,0.003585000000000005,0.002424499999999996,dati di debug\1° test.csv
1076,1154,17915.0,19213.0,0.04868900000000004,0.12656099999999998,0.12640099999999999,0.12648099999999998,dati di debug\1° test.csv
79,81,1444.0,1481.0,0.09202700000000003,0.15080299999999996,0.41633,0.28356649999999994,dati di debug\2° test.csv
491,669,10494.0,13456.0,0.09189500000000006,0.003654000000000046,0.05039199999999999,0.02702300000000002,dati di debug\2° test.csv
692,741,13838.0,14654.0,0.060753999999999975,0.002059000000000033,0.005027999999999977,0.003543500000000005,dati di debug\2° test.csv
765,811,15054.0,15819.0,0.06562800000000002,0.0016390000000000016,0.004029000000000005,0.002834000000000003,dati di debug\2° test.csv
835,885,16218.0,17050.0,0.06522099999999997,0.0024460000000000037,0.0032969999999999944,0.002871499999999999,dati di debug\2° test.csv
908,957,17433.0,18248.0,0.06607299999999999,0.000136000000000025,0.004159999999999997,0.002148000000000011,dati di debug\2° test.csv
981,1029,18648.0,19446.0,0.06535350000000001,0.00023499999999998522,0.0013949999999999796,0.0008149999999999824,dati di debug\2° test.csv
1056,1106,19896.0,20729.0,0.06399550000000004,0.0009930000000000216,0.002139000000000002,0.0015660000000000118,dati di debug\2° test.csv
1132,1184,21161.0,22026.0,0.06169000000000002,0.0014840000000000408,0.0031939999999999746,0.0023390000000000077,dati di debug\2° test.csv
1209,1258,22442.0,23257.0,0.061485500000000026,0.0017530000000000046,0.0012660000000000449,0.0015095000000000247,dati di debug\2° test.csv
1287,1338,23740.0,24589.0,0.06432650000000001,0.0005580000000000029,0.00013699999999999823,0.0003475000000000006,dati di debug\2° test.csv
1368,1430,25088.0,26120.0,0.03972450000000005,0.10801299999999997,0.12915000000000004,0.1185815,dati di debug\2° test.csv
79,81,1444.0,1481.0,0.09202700000000003,0.15080299999999996,0.41633,0.28356649999999994,dati di debug\3° test.csv
491,669,10494.0,13456.0,0.09189500000000006,0.003654000000000046,0.05039199999999999,0.02702300000000002,dati di debug\3° test.csv
692,741,13838.0,14654.0,0.060753999999999975,0.002059000000000033,0.005027999999999977,0.003543500000000005,dati di debug\3° test.csv
765,811,15054.0,15819.0,0.06562800000000002,0.0016390000000000016,0.004029000000000005,0.002834000000000003,dati di debug\3° test.csv
835,885,16218.0,17050.0,0.06522099999999997,0.0024460000000000037,0.0032969999999999944,0.002871499999999999,dati di debug\3° test.csv
908,957,17433.0,18248.0,0.06607299999999999,0.000136000000000025,0.004159999999999997,0.002148000000000011,dati di debug\3° test.csv
981,1029,18648.0,19446.0,0.06535350000000001,0.00023499999999998522,0.0013949999999999796,0.0008149999999999824,dati di debug\3° test.csv
1056,1106,19896.0,20729.0,0.06399550000000004,0.0009930000000000216,0.002139000000000002,0.0015660000000000118,dati di debug\3° test.csv
1132,1184,21161.0,22026.0,0.06169000000000002,0.0014840000000000408,0.0031939999999999746,0.0023390000000000077,dati di debug\3° test.csv
1209,1258,22442.0,23257.0,0.061485500000000026,0.0017530000000000046,0.0012660000000000449,0.0015095000000000247,dati di debug\3° test.csv
