landmark_name,frames,mean_x,mean_y,mean_z,std_x,std_y,std_z,mean_visibility,min_elapsed_ms,max_elapsed_ms
left_ankle,1419,0.5484220126849894,0.9721072262156447,0.2761655715292459,0.10478600504438579,0.4030139454598249,0.3920377846720293,0.8187883720930232,1,24117
left_elbow,1419,0.6718115102184636,0.43168685694150816,-0.2716259760394644,0.12288041114523443,0.1464383094317964,0.22410333299672408,0.9137164200140944,1,24117
left_foot_index,1419,0.5526624644115574,1.043623589147287,0.05505878999295278,0.10540984618669952,0.4394421154061415,0.4342451737613338,0.8003988019732207,1,24117
left_heel,1419,0.5407403523608175,0.9900299887244539,0.29924161381254405,0.10406126408561353,0.420630993204601,0.4242195660368955,0.6896728682170543,1,24117
left_hip,1419,0.545930496124031,0.616502963354475,-0.004249387596899225,0.08631824348461044,0.19517928237182144,0.03655704832241144,0.9360171247357294,1,24117
left_index,1419,0.639805231853418,0.39188609161381255,-0.5573842410147991,0.1375131575841459,0.23519373113123196,0.3223135391139686,0.8606610288935871,1,24117
left_knee,1419,0.5532201649048626,0.8049054122621564,-0.02668044820295983,0.1066467563276925,0.29736039082378507,0.21239228271964689,0.850846652572234,1,24117
left_pinky,1419,0.6533290648343905,0.39811534954193095,-0.5459574249471458,0.14694954850807257,0.23363806940312787,0.3135946365722442,0.8570708949964765,1,24117
left_shoulder,1419,0.5904185567300916,0.3911847364341085,-0.20024163565891473,0.08939971153889188,0.1536419443067755,0.3164904446665566,0.9986661028893586,1,24117
left_thumb,1419,0.6343855081042988,0.39414280761099363,-0.4986927681465821,0.12869962749941616,0.22565454324348921,0.28716497114113665,0.8612315010570826,1,24117
left_wrist,1419,0.6538598985200845,0.40299554474982385,-0.4855316011275546,0.13582977761483375,0.20700048293413398,0.27602357170351915,0.8772486257928119,1,24117
right_ankle,1419,0.42771037138830165,0.9755773255813954,0.2406927864693446,0.08679686131322603,0.41305240199648496,0.35041523854118967,0.8246423537702607,1,24117
right_elbow,1419,0.30306556659619455,0.4384344186046511,-0.30784700493305145,0.12932569234001098,0.15857511586696826,0.33694451721548474,0.9221021846370683,1,24117
right_foot_index,1419,0.4138781881606765,1.047446446088795,0.0015065193798449604,0.08655098490715325,0.4481419624102755,0.3960433648305811,0.7974648343904157,1,24117
right_heel,1419,0.43371764059196616,0.9944144763918252,0.2571751895701198,0.08747789033215896,0.4307313618409998,0.3729104713287896,0.6958350951374207,1,24117
right_hip,1419,0.4222521021846371,0.6164907723749119,0.005048463002114165,0.08879594667912429,0.20214398536470968,0.03441337836920335,0.935994432699084,1,24117
right_index,1419,0.322377793516561,0.4264846617336152,-0.5889839661733615,0.12412053625004,0.26381690142632264,0.422701330194791,0.8655363636363635,1,24117
right_knee,1419,0.4190986532769556,0.803913119802678,-0.022842856941508106,0.09088988697548073,0.30552043437401544,0.21710104628317567,0.8607176885130374,1,24117
right_pinky,1419,0.3059287639182523,0.42980133967582806,-0.5769887709654686,0.13386195805478962,0.26405715681916686,0.41562853838405656,0.8617322762508809,1,24117
right_shoulder,1419,0.3813955954897815,0.39197258491895703,-0.20252413319238902,0.12179108674000577,0.14358919107080118,0.35687386733035376,0.99866088794926,1,24117
right_thumb,1419,0.32859068780831574,0.4273677068357999,-0.5259926145172656,0.11456890755163873,0.2528441314226644,0.39019942379090883,0.8637143058491895,1,24117
right_wrist,1419,0.3089638005637773,0.429703451726568,-0.5109169337561663,0.12235162368035994,0.23274986239776843,0.37984384962100387,0.8829938689217759,1,24117
