down_idx,up_idx,down_ms,up_ms,shoulder_move,left_move,right_move,wrist_move,source,label,is_valid
236,390,3936.0,6499.0,0.09618199999999999,0.009948000000000012,0.026998000000000022,0.018473000000000017,dati di debug\1° test.csv,GOOD,False
412,461,6865.0,7680.0,0.06832749999999999,0.0017880000000000118,0.002935000000000021,0.0023615000000000164,dati di debug\1° test.csv,GOOD,False
485,533,8080.0,8878.0,0.06166699999999997,0.0036710000000000353,0.0027880000000000127,0.003229500000000024,dati di debug\1° test.csv,GOOD,False
557,601,9278.0,10010.0,0.0665035,0.0005149999999999877,0.004610000000000003,0.0025624999999999953,dati di debug\1° test.csv,GOOD,False
625,673,10409.0,11208.0,0.06194099999999997,0.0016269999999999896,0.0008179999999999854,0.0012224999999999875,dati di debug\1° test.csv,GOOD,False
696,741,11591.0,12340.0,0.06420349999999997,0.00019700000000000273,0.0005240000000000244,0.0003605000000000136,dati di debug\1° test.csv,GOOD,False
766,813,12756.0,13538.0,0.06464599999999998,0.0005899999999999794,0.00152100000000005,0.0010555000000000148,dati di debug\1° test.csv,GOOD,False
839,883,13971.0,14703.0,0.067351,0.0012299999999999534,0.002701000000000009,0.001965499999999981,dati di debug\1° test.csv,GOOD,False
911,959,15169.0,15968.0,0.06931500000000002,0.0008540000000000214,0.0038830000000000253,0.0023685000000000234,dati di debug\1° test.csv,GOOD,False
989,1041,16467.0,17332.0,0.06795600000000002,0.0012639999999999874,0.003585000000000005,0.002424499999999996,dati di debug\1° test.csv,GOOD,False
1076,1154,17915.0,19213.0,0.04868900000000004,0.12656099999999998,0.12640099999999999,0.12648099999999998,dati di debug\1° test.csv,GOOD,False
79,81,1444.0,1481.0,0.09202700000000003,0.15080299999999996,0.41633,0.28356649999999994,dati di debug\2° test.csv,GOOD,False
491,669,10494.0,13456.0,0.09189500000000006,0.003654000000000046,0.05039199999999999,0.02702300000000002,dati di debug\2° test.csv,GOOD,False
692,741,13838.0,14654.0,0.060753999999999975,0.002059000000000033,0.005027999999999977,0.003543500000000005,dati di debug\2° test.csv,GOOD,False
765,811,15054.0,15819.0,0.06562800000000002,0.0016390000000000016,0.004029000000000005,0.002834000000000003,dati di debug\2° test.csv,GOOD,False
835,885,16218.0,17050.0,0.06522099999999997,0.0024460000000000037,0.0032969999999999944,0.002871499999999999,dati di debug\2° test.csv,GOOD,False
908,957,17433.0,18248.0,0.06607299999999999,0.000136000000000025,0.004159999999999997,0.002148000000000011,dati di debug\2° test.csv,GOOD,False
981,1029,18648.0,19446.0,0.06535350000000001,0.00023499999999998522,0.0013949999999999796,0.0008149999999999824,dati di debug\2° test.csv,GOOD,False
1056,1106,19896.0,20729.0,0.06399550000000004,0.0009930000000000216,0.002139000000000002,0.0015660000000000118,dati di debug\2° test.csv,GOOD,False
1132,1184,21161.0,22026.0,0.06169000000000002,0.0014840000000000408,0.0031939999999999746,0.0023390000000000077,dati di debug\2° test.csv,GOOD,False
1209,1258,22442.0,23257.0,0.061485500000000026,0.0017530000000000046,0.0012660000000000449,0.0015095000000000247,dati di debug\2° test.csv,GOOD,False
1287,1338,23740.0,24589.0,0.06432650000000001,0.0005580000000000029,0.00013699999999999823,0.0003475000000000006,dati di debug\2° test.csv,GOOD,False
1368,1430,25088.0,26120.0,0.03972450000000005,0.10801299999999997,0.12915000000000004,0.1185815,dati di debug\2° test.csv,GOOD,False
249,497,4149.0,8276.0,0.08872799999999997,0.034296999999999966,0.01804800000000001,0.026172499999999987,dati di debug\4° test.csv,GOOD,False
518,563,8626.0,9375.0,0.0588805,0.0005539999999999989,0.0038610000000000033,0.002207500000000001,dati di debug\4° test.csv,GOOD,False
587,632,9774.0,10523.0,0.05895450000000002,0.0029429999999999734,0.011037000000000019,0.006989999999999996,dati di debug\4° test.csv,GOOD,False
657,701,10939.0,11671.0,0.06032949999999998,0.002137,0.007914000000000032,0.005025500000000016,dati di debug\4° test.csv,GOOD,False
726,772,12087.0,12853.0,0.06267149999999999,0.003676999999999986,0.0002869999999999817,0.0019819999999999838,dati di debug\4° test.csv,GOOD,False
797,842,13269.0,14018.0,0.06392799999999998,0.0017879999999999563,0.0039519999999999555,0.002869999999999956,dati di debug\4° test.csv,GOOD,False
870,919,14483.0,15299.0,0.056952,0.005832000000000004,0.0018799999999999928,0.0038559999999999983,dati di debug\4° test.csv,GOOD,False
948,998,15781.0,16614.0,0.06780599999999998,0.0009489999999999776,0.0026060000000000527,0.0017775000000000152,dati di debug\4° test.csv,GOOD,False
1027,1077,17096.0,17928.0,0.06297900000000001,0.002732000000000012,0.0035630000000000384,0.0031475000000000253,dati di debug\4° test.csv,GOOD,False
1108,1159,18444.0,19293.0,0.06188650000000001,0.0006309999999999927,0.0019459999999999478,0.0012884999999999702,dati di debug\4° test.csv,GOOD,False
1192,1240,19842.0,20641.0,0.05232549999999997,0.14767100000000005,0.14106400000000002,0.14436750000000004,dati di debug\4° test.csv,GOOD,False
79,81,1444.0,1481.0,0.09202700000000003,0.15080299999999996,0.41633,0.28356649999999994,dati di debug\3° test.csv,GOOD,False
491,669,10494.0,13456.0,0.09189500000000006,0.003654000000000046,0.05039199999999999,0.02702300000000002,dati di debug\3° test.csv,GOOD,False
692,741,13838.0,14654.0,0.060753999999999975,0.002059000000000033,0.005027999999999977,0.003543500000000005,dati di debug\3° test.csv,GOOD,False
765,811,15054.0,15819.0,0.06562800000000002,0.0016390000000000016,0.004029000000000005,0.002834000000000003,dati di debug\3° test.csv,GOOD,False
835,885,16218.0,17050.0,0.06522099999999997,0.0024460000000000037,0.0032969999999999944,0.002871499999999999,dati di debug\3° test.csv,GOOD,False
908,957,17433.0,18248.0,0.06607299999999999,0.000136000000000025,0.004159999999999997,0.002148000000000011,dati di debug\3° test.csv,GOOD,False
981,1029,18648.0,19446.0,0.06535350000000001,0.00023499999999998522,0.0013949999999999796,0.0008149999999999824,dati di debug\3° test.csv,GOOD,False
1056,1106,19896.0,20729.0,0.06399550000000004,0.0009930000000000216,0.002139000000000002,0.0015660000000000118,dati di debug\3° test.csv,GOOD,False
1132,1184,21161.0,22026.0,0.06169000000000002,0.0014840000000000408,0.0031939999999999746,0.0023390000000000077,dati di debug\3° test.csv,GOOD,False
1209,1258,22442.0,23257.0,0.061485500000000026,0.0017530000000000046,0.0012660000000000449,0.0015095000000000247,dati di debug\3° test.csv,GOOD,False
1287,1338,23740.0,24589.0,0.06432650000000001,0.0005580000000000029,0.00013699999999999823,0.0003475000000000006,dati di debug\3° test.csv,BAD,False
1368,1430,25088.0,26120.0,0.03972450000000005,0.10801299999999997,0.12915000000000004,0.1185815,dati di debug\3° test.csv,BAD,False
308,528,5143.0,8804.0,0.099827,0.06349300000000002,0.014297000000000004,0.03889500000000001,dati di debug\5° test.csv,BAD,False
551,597,9187.0,9952.0,0.0656485,0.0037670000000000203,0.004357999999999973,0.004062499999999997,dati di debug\5° test.csv,BAD,False
621,667,10351.0,11117.0,0.06301050000000002,0.0026980000000000337,0.005570000000000019,0.0041340000000000265,dati di debug\5° test.csv,BAD,False
691,737,11516.0,12282.0,0.05805250000000001,0.00037800000000004497,0.008572000000000024,0.0044750000000000345,dati di debug\5° test.csv,BAD,False
763,809,12715.0,13480.0,0.06561350000000005,0.0024660000000000237,0.0016550000000000176,0.0020605000000000206,dati di debug\5° test.csv,BAD,False
834,881,13896.0,14678.0,0.059497999999999995,0.007312999999999958,9.700000000001374e-05,0.003704999999999986,dati di debug\5° test.csv,BAD,False
905,952,15078.0,15860.0,0.06184299999999998,0.0025880000000000347,0.003605999999999998,0.0030970000000000164,dati di debug\5° test.csv,BAD,False
981,1028,16343.0,17125.0,0.0634015,0.00792799999999999,0.0014620000000000188,0.004695000000000005,dati di debug\5° test.csv,BAD,False
1056,1106,17591.0,18423.0,0.06428149999999994,0.0050000000000000044,0.00392899999999996,0.004464499999999982,dati di debug\5° test.csv,BAD,False
1136,1188,18922.0,19788.0,0.066307,0.00460900000000003,0.003925999999999985,0.004267500000000007,dati di debug\5° test.csv,BAD,False
1220,1271,20320.0,21169.0,0.05997150000000001,0.133901,0.12125000000000002,0.1275755,dati di debug\5° test.csv,BAD,False
1518,1640,25280.0,27310.0,0.10464249999999997,0.22532999999999997,0.15887499999999996,0.19210249999999995,dati di debug\5° test.csv,BAD,False
1674,1727,27876.0,28758.0,0.0035459999999999936,0.063589,0.06201300000000004,0.06280100000000002,dati di debug\5° test.csv,BAD,False
1759,1823,29291.0,30356.0,0.02089000000000002,0.044097,0.06187100000000001,0.052984,dati di debug\5° test.csv,BAD,False
1848,1893,30772.0,31521.0,0.005117499999999997,0.05826399999999998,0.07254500000000003,0.0654045,dati di debug\5° test.csv,BAD,False
1917,1965,31920.0,32719.0,0.003946999999999978,0.06435600000000002,0.07993299999999998,0.0721445,dati di debug\5° test.csv,BAD,False
1989,2040,33118.0,33967.0,0.003233999999999959,0.057738999999999985,0.06932900000000003,0.06353400000000001,dati di debug\5° test.csv,BAD,False
2062,2111,34333.0,35148.0,0.004179500000000003,0.058640000000000025,0.06607099999999999,0.06235550000000001,dati di debug\5° test.csv,BAD,False
2286,2288,38094.0,38144.0,0.8282315,0.27100899999999994,0.43373599999999995,0.3523725,dati di debug\5° test.csv,BAD,False
2290,2293,38218.0,38260.0,0.026836000000000082,0.15105999999999997,0.33925,0.24515499999999998,dati di debug\5° test.csv,BAD,False
2300,2344,38377.0,39142.0,0.17925449999999998,0.673122,0.5662699999999999,0.619696,dati di debug\5° test.csv,BAD,False
